(0, 0)
(1, 1)
(2, 2)
(3, 3)
(4, 4)
(5, 5)
(6, 5)
(7, 6)
(8, 7)
(9, 8)
(9, 9)
(10, 10)
(11, 11)
(12, 12)
(13, 13)
(13, 14)
(14, 15)
(15, 16)
(16, 16)
(17, 17)
(18, 18)
(19, 19)
(20, 19)
(21, 20)
(22, 20)
(23, 21)
(24, 22)
(25, 23)
(26, 24)
(26, 25)
(27, 26)
(28, 27)
(29, 28)
(29, 29)
(30, 30)
(31, 30)
(32, 31)
(32, 32)
(33, 33)
(33, 34)
(34, 35)
(35, 36)
(36, 37)
(37, 38)
(37, 39)
(38, 40)
(39, 41)
(40, 42)
(41, 43)
(42, 44)
(43, 45)
(44, 46)
(45, 47)
(46, 48)
(47, 49)
(48, 50)
(49, 50)
(50, 51)
(51, 52)
(52, 53)
(53, 54)
(54, 54)
(55, 55)
(56, 55)
(57, 56)
(57, 57)
(58, 58)
(59, 59)
(60, 60)
(61, 61)
(62, 62)
(63, 63)
(64, 64)
(65, 65)
(66, 66)
(67, 67)
