(0, 0)
(0, 1)
(1, 1)
(2, 1)
(2, 2)
(3, 2)
(3, 3)
(3, 4)
(3, 5)
(3, 6)
(3, 7)
(4, 7)
(4, 8)
(5, 8)
(5, 9)
(5, 10)
(6, 10)
(7, 10)
(8, 10)
(8, 11)
(8, 12)
(8, 13)
(8, 14)
(8, 15)
(8, 16)
(8, 17)
(8, 18)
(8, 19)
(8, 20)
(8, 21)
(8, 22)
(9, 22)
(9, 23)
(10, 23)
(11, 23)
(12, 23)
(13, 23)
(14, 23)
(15, 23)
(15, 24)
(16, 24)
(17, 24)
(17, 25)
(17, 26)
(18, 26)
(18, 27)
(18, 28)
(18, 29)
(19, 29)
(19, 30)
(19, 31)
(19, 32)
(19, 33)
(19, 34)
(19, 35)
(19, 36)
(19, 37)
(19, 38)
(19, 39)
(19, 40)
(19, 41)
(19, 42)
(20, 42)
(21, 42)
(22, 42)
(22, 43)
(22, 44)
(22, 45)
(23, 45)
(23, 46)
(23, 47)
(23, 48)
(23, 49)
(23, 50)
(24, 50)
(25, 50)
(25, 51)
(25, 52)
(26, 52)
(26, 53)
(26, 54)
(26, 55)
(27, 55)
(27, 56)
(27, 57)
(27, 58)
(27, 59)
(27, 60)
(28, 60)
(28, 61)
(28, 62)
(28, 63)
(28, 64)
(29, 64)
(29, 65)
(30, 65)
(31, 65)
(31, 66)
(32, 66)
(33, 66)
(34, 66)
(35, 66)
(35, 67)
(36, 67)
(36, 68)
(36, 69)
(36, 70)
(37, 70)
(38, 70)
(39, 70)
(40, 70)
(41, 70)
(42, 70)
(43, 70)
(44, 70)
(44, 71)
(44, 72)
(44, 73)
(44, 74)
(45, 74)
(46, 74)
(46, 75)
(46, 76)
(47, 76)
(47, 77)
(48, 77)
(48, 78)
(48, 79)
(48, 80)
(49, 80)
(49, 81)
(49, 82)
(49, 83)
(49, 84)
(49, 85)
(49, 86)
(49, 87)
(49, 88)
(49, 89)
(49, 90)
(50, 90)
(51, 90)
(51, 91)
(52, 91)
(53, 91)
(54, 91)
(55, 91)
(56, 91)
(56, 92)
(57, 92)
(58, 92)
(59, 92)
(60, 92)
(61, 92)
(62, 92)
(63, 92)
(64, 92)
(65, 92)
(66, 92)
(67, 92)
(68, 92)
(69, 92)
(70, 92)
(71, 92)
(71, 93)
(72, 93)
(73, 93)
(74, 93)
(75, 93)
(76, 93)
(76, 94)
(77, 94)
(78, 94)
(79, 94)
(80, 94)
(81, 94)
(82, 94)
(82, 95)
(83, 95)
(84, 95)
(85, 95)
(85, 96)
(85, 97)
(86, 97)
(87, 97)
(88, 97)
(89, 97)
(90, 97)
(91, 97)
(91, 98)
(92, 98)
(93, 98)
(94, 98)
(95, 98)
(95, 97)
(95, 96)
(96, 96)
(97, 96)
(98, 96)
(99, 96)
(99, 97)
(99, 98)
(99, 99)
